,Symbol,Name,Sector,Industy
391,RTX,Raytheon Technologies,Industrials,AIRCRAFT ENGINES & ENGINE PARTS
392,O,Realty Income Corporation,Real Estate,REAL ESTATE INVESTMENT TRUSTS
393,REG,Regency Centers,Real Estate,REAL ESTATE INVESTMENT TRUSTS
394,REGN,Regeneron Pharmaceuticals,Health Care,PHARMACEUTICAL PREPARATIONS
395,RF,Regions Financial Corporation,Financials,NATIONAL COMMERCIAL BANKS
396,RSG,Republic Services,Industrials,REFUSE SYSTEMS
397,RMD,ResMed,Health Care,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
398,RHI,Robert Half International,Industrials,SERVICES-HELP SUPPLY SERVICES
399,ROK,Rockwell Automation,Industrials,"MEASURING & CONTROLLING DEVICES, NEC"
400,ROL,Rollins,Industrials,SERVICES-TO DWELLINGS & OTHER BUILDINGS
401,ROP,Roper Technologies,Industrials,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL"
402,ROST,Ross Stores,Consumer Discretionary,RETAIL-FAMILY CLOTHING STORES
403,RCL,Royal Caribbean Group,Consumer Discretionary,WATER TRANSPORTATION
404,SPGI,S&P Global,Financials,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES"
405,CRM,Salesforce,Information Technology,SERVICES-PREPACKAGED SOFTWARE
406,SBAC,SBA Communications,Real Estate,REAL ESTATE INVESTMENT TRUSTS
407,SLB,Schlumberger,Energy,"OIL & GAS FIELD SERVICES, NEC"
408,STX,Seagate Technology,Information Technology,COMPUTER STORAGE DEVICES
409,SEE,Sealed Air,Materials,"PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)"
410,SRE,Sempra Energy,Utilities,GAS & OTHER SERVICES COMBINED
411,NOW,ServiceNow,Information Technology,SERVICES-PREPACKAGED SOFTWARE
412,SHW,Sherwin-Williams,Materials,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY"
413,SPG,Simon Property Group,Real Estate,REAL ESTATE INVESTMENT TRUSTS
414,SWKS,Skyworks Solutions,Information Technology,SEMICONDUCTORS & RELATED DEVICES
415,SNA,Snap-on,Industrials,"CUTLERY, HANDTOOLS & GENERAL HARDWARE"
416,SO,Southern Company,Utilities,ELECTRIC SERVICES
417,LUV,Southwest Airlines,Industrials,"AIR TRANSPORTATION, SCHEDULED"
418,SWK,Stanley Black & Decker,Industrials,"CUTLERY, HANDTOOLS & GENERAL HARDWARE"
419,SBUX,Starbucks,Consumer Discretionary,RETAIL-EATING & DRINKING PLACES
420,STT,State Street Corporation,Financials,STATE COMMERCIAL BANKS
421,STE,Steris,Health Care,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES"
422,SYK,Stryker Corporation,Health Care,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
423,SIVB,SVB Financial,Financials,STATE COMMERCIAL BANKS
424,SYF,Synchrony Financial,Financials,FINANCE SERVICES
425,SNPS,Synopsys,Information Technology,SERVICES-PREPACKAGED SOFTWARE
426,SYY,Sysco,Consumer Staples,WHOLESALE-GROCERIES & RELATED PRODUCTS
427,TMUS,T-Mobile US,Communication Services,RADIOTELEPHONE COMMUNICATIONS
428,TROW,T. Rowe Price,Financials,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
429,TTWO,Take-Two Interactive,Communication Services,SERVICES-PREPACKAGED SOFTWARE
430,TPR,Tapestry,Consumer Discretionary,LEATHER & LEATHER PRODUCTS
431,TGT,Target Corporation,Consumer Discretionary,RETAIL-VARIETY STORES
432,TEL,TE Connectivity,Information Technology,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC"
433,TDY,Teledyne Technologies,Industrials,"SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS"
434,TFX,Teleflex,Health Care,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
435,TER,Teradyne,Information Technology,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
436,TSLA,Tesla,Consumer Discretionary,MOTOR VEHICLES & PASSENGER CAR BODIES
437,TXN,Texas Instruments,Information Technology,SEMICONDUCTORS & RELATED DEVICES
438,TXT,Textron,Industrials,AIRCRAFT & PARTS
439,COO,The Cooper Companies,Health Care,OPHTHALMIC GOODS
440,HIG,The Hartford,Financials,"FIRE, MARINE & CASUALTY INSURANCE"
441,HSY,The Hershey Company,Consumer Staples,SUGAR & CONFECTIONERY PRODUCTS
442,MOS,The Mosaic Company,Materials,AGRICULTURAL CHEMICALS
443,TRV,The Travelers Companies,Financials,"FIRE, MARINE & CASUALTY INSURANCE"
444,DIS,The Walt Disney Company,Communication Services,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION
445,TMO,Thermo Fisher Scientific,Health Care,"MEASURING & CONTROLLING DEVICES, NEC"
446,TJX,TJX Companies,Consumer Discretionary,RETAIL-FAMILY CLOTHING STORES
447,TSCO,Tractor Supply Company,Consumer Discretionary,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY"
448,TT,Trane Technologies,Industrials,AUTO CONTROLS FOR REGULATING RESIDENTIAL & COMML ENVIRONMENTS
449,TDG,TransDigm Group,Industrials,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC"
450,TRMB,Trimble,Information Technology,"MEASURING & CONTROLLING DEVICES, NEC"
451,TFC,Truist Financial,Financials,NATIONAL COMMERCIAL BANKS
452,TWTR,Twitter,Communication Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
453,TYL,Tyler Technologies,Information Technology,SERVICES-PREPACKAGED SOFTWARE
454,TSN,Tyson Foods,Consumer Staples,POULTRY SLAUGHTERING AND PROCESSING
455,USB,U.S. Bancorp,Financials,NATIONAL COMMERCIAL BANKS
456,UDR,UDR,Real Estate,REAL ESTATE INVESTMENT TRUSTS
457,ULTA,Ulta Beauty,Consumer Discretionary,"RETAIL-RETAIL STORES, NEC"
458,UAA,Under Armour (Class A),Consumer Discretionary,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL
459,UA,Under Armour (Class C),Consumer Discretionary,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL
460,UNP,Union Pacific,Industrials,"RAILROADS, LINE-HAUL OPERATING"
461,UAL,United Airlines,Industrials,"AIR TRANSPORTATION, SCHEDULED"
462,UPS,United Parcel Service,Industrials,TRUCKING & COURIER SERVICES (NO AIR)
